OLD_CODE;NEW_CODE
mr_654k_32_300;pnevmaticheskiy_pistolet_makarova_mr_654k_32_300_seriya
mr_512_40;pnevmaticheskaya_vintovka_mr_512_40
mr_654k_bel;pnevmaticheskiy_pistolet_mr_654k_belyy_korpus_belyy_zatvor_obnovlyennaya_rukoyatka
um-w-lg-300;pnevmaticheskaya_vintovka_umarex_walther_lg_300_anatomic
c-r8-cf1k77np;crosman_fury_r8_cf1k77np
c-v-8-cvw1k77np;crosman_venom_8_cvw1k77np
cros-bp1763;crosman_bp1763_benjamin_marauder
cros-disc;crosman_bp1k77gp_discovery_s_nasosom
c-m4-177;crosman_m4_177
c-o-r8-c01k77x;crosman_optimus_r8_c01k77x
cros-v-np;crosman_vantage_np_rw1k77x2
mr_654k_kmf;pnevmaticheskiy_pistolet_makarova_mr_654k_kmf
mr_655k;pnevmaticheskiy_pistolet_mr_655k
mr_654k_20;pnevmaticheskie_pistolety_mr_654k_20
mr_672;pnevmaticheskie_pistolet_mr_672
mp_651-kc;pnevmaticheskiy_pistolet_mp_651kc
mr_651_07_ks;pnevmaticheskiy_pistolet_mr_651_07_ks_s_ruchkoy
mr_651_20_ks;pnevmaticheskiy_pistolet_mr_651_20_ks_s_nasadkoy_pp
mr_661k-dr;pnevmaticheskiy_pistolet_drozd_mr_661k
mr-661-ks-02;pnevmaticheskiy-pistolet-mr-661-ks-02-drozd-
mr-661-k-08;pnevmaticheskiy-pistolet-mr-661k-08-drozd-bunkernyy-
izh_46m;pnevmaticheskiy_pistolet_izh_46m
yunker_401_kor;pnevmaticheskiy_avtomat_yunker_4_isp_01_korotkiy
mr_512_22;pnevmaticheskaya_vintovka_mr_512_22
mr_512s_00;vintovka_pnevmaticheskaya_mr_512s_00
mr_512_26_der;vintovka_pnevmaticheskaya_mr_512_26_derevo
izh_61;vintovka_pnevmaticheskaya_izh_61
alf-9-pls;alfamax_mod_9_pls
mr_514k;pnevmaticheskaya_vintovka_mr_514k
unker_407_dlin;pnevmaticheskiy_avtomat_yunker_4_isp_07_dlinnyy
air_arm_s410_long;pnevmaticheskaya_vintovka_air_arms_s_410_long
atam-435-rb;pnevmaticheskaya_vintovka_bull_pap_ataman_m2r_zelyenyy
air_arm_s410_xtra;pnevmaticheskaya_vintovka_air_arms_s_410_xtra_hi_power_fac
atam-225-rb;pnevmaticheskaya_vintovka_taktik_ataman_m2r_chernyy
atam-335-rb;pnevmaticheskaya_vintovka_taktik_ataman_m2r_zelyenyy
fx-mon-der;pnevmaticheskaya_vintovka_fx_monsoon_derevo
sm-r5;pnevmaticheskaya_vintovka_smersh_r5
fx-roy-400;pnevmaticheskaya_vintovka_fx_royale_400_plastik
sm-r7;pnevmaticheskaya_vintovka_smersh_r7
fx-mon-syn;pnevmaticheskaya_vintovka_fx_monsoon_syntetic_plastik
synxs;pnevmaticheskaya_vintovka_synxs
b4_cust;pnevmaticheskaya_vintovka_b4_cust
b2_cust;pnevmaticheskaya_vintovka_b2_cust
fx-roya-400;pnevmaticheskaya_vintovka_fx_royale_400_derevo
sm-r8;pnevmaticheskaya_vintovka_smersh_r8
fx-t-12-hp-ma;pnevmaticheskaya_vintovka_fx_t_12_hp_match
smk_15;pnevmaticheskaya_vintovka_smk_15
syntarg;pnevmaticheskaya_vintovka_syntarg
fx-typ-hp;pnevmaticheskaya_vintovka_fx_typhoon_hp_match_plastik
air_arm_ev2_mk4;pnevmaticheskaya_vintovka_air_arms_ev2_mk4
fx-ver;pnevmaticheskaya_vintovka_fx_verminator
sm-r9;pnevmaticheskaya_vintovka_smersh_r9
sm-r-10;pnevmaticheskaya_vintovka_smersh_r10
gamo-cfx;gamo_cfx
g-hun-440;gamo_hunter_440
g-h-1250;gamo_hunter_1250
alf-16-der;alfamax_mod_16_der
g-cfx-roy;gamo_cfx_royal
g-sh-rsv;gamo_shadow_rsv
g-max;gamo_maxima
alfa-17-pls;alfamax_mod_17_pls
alf-7-pls;alfamax_mod_7_pls
alf-17-mw;alfamax_mod_17_mw
alfa-14-pls;alfamax_mod_14_pls
alfa-14-camo;alfamax_mod_14_camo
alfa-14-mw;alfamax_mod_14_mw
g-vip-ske;gamo_viper_skeet
g-whi-x;gamo_whisper_x
g-sh-sp;gamo_shadow_sport
g-vip-des;gamo_viper_desert
g-vip-max;gamo_viper_max
g-del-fox;gamo_delta_fox
g-del-max;gamo_delta_max
np-8-bt1k77snp;crosman_trail_np_8_bt1k77snp_camo
ga-610;gamo_610
g-sha-1000;gamo_shadow_1000
g-sh-mat;gamo_shadow_matic
g-sh-si;gamo_shadow_csi
g-cf-20;gamo_cf_20
g-cf-30;gamo_cf_30
g-hun-440-c;gamo_hunter_440_combo
u-850-air;pnevmaticheskaya_vintovka_umarex_850_air_magnum_hunter
um-850-air;pnevmaticheskaya_vintovka_umarex_850_air_magnum_target_kit
um-850-xt;pnevmaticheskaya_vintovka_umarex_850_air_magnum_xt
um-ru-haw;pnevmaticheskaya_vintovka_umarex_ruger_air_hawk_elite
u-w-1250;pnevmaticheskaya_vintovka_umarex_walther_1250_dominator
u-w-eve-act;pnevmaticheskaya_vintovka_umarex_walther_lever_action
uma-h-f-900;pnevmaticheskaya_vintovka_umarex_hammerli_hunter_force_900_combo
h-at44-10;hatsan_at44_10
h-125;hatsan_125
h-55s;hatsan_55s
